1;23;324;3;1
1;9;51;22;0
2;16;685;12;0
2;17;226;16;0
2;22;155;1;0
2;19;126;3;0
3;8;348;18;0
3;1;273;22;0
3;8;210;18;1
3;6;164;3;0
3;18;98;8;0
4;1;4;22;0
5;18;796;8;0
5;18;796;3;0
5;17;658;12;0
5;11;656;5;0
5;18;596;3;0
5;20;469;13;1
5;18;378;23;0
5;18;286;17;0
5;18;278;17;0
5;9;108;20;0
5;7;76;3;0
5;20;60;13;0
5;1;19;19;0
6;16;48;18;0
7;5;1159;11;0
7;25;1111;8;0
7;18;1088;3;0
7;9;1033;6;0
7;16;1015;19;0
7;20;836;14;0
7;18;800;7;0
7;19;756;14;0
7;5;681;11;0
7;18;610;3;0
7;17;608;5;0
7;19;527;18;0
7;12;469;16;1
7;14;135;19;0
7;20;121;13;0
7;22;102;12;0
7;12;97;18;1
7;7;91;19;0
7;18;8;17;0
8;16;38;12;0
9;20;164;14;0
9;18;266;17;0
10;18;214;11;0
10;16;227;12;0
10;16;285;12;0
10;18;388;3;0
10;14;633;19;0
10;22;800;6;0
10;19;907;16;0
10;14;1038;8;0
10;4;1070;7;0
10;4;1074;14;0
11;18;24;23;0
11;17;106;8;0
11;1;149;4;0
11;20;301;9;0
11;18;426;3;0
11;20;437;13;0
11;18;510;8;0
11;20;531;14;0
11;18;592;23;0
11;18;611;3;1
11;7;616;18;1
11;7;685;19;0
11;18;708;3;0
12;1;80;20;0
12;12;81;22;0
12;25;537;8;0
12;16;672;18;0
12;18;682;8;0
13;16;45;12;0
13;7;171;18;0
13;18;361;17;0
13;18;427;17;0
13;1;501;4;0
13;18;577;17;0
13;18;612;8;0
14;16;799;18;0
14;23;750;3;1
14;18;558;23;0
14;7;538;5;0
14;6;471;12;1
14;7;360;4;0
14;19;324;14;0
14;4;268;14;0
14;4;218;14;0
14;4;200;14;0
14;20;180;13;0
14;16;93;12;0
14;12;69;16;1
15;1;24;20;0
15;18;258;8;0
16;5;107;1;0
16;5;120;4;0
16;18;256;8;0
16;14;277;19;0
